,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,writer,director
0,tt0009369,Mickey,Mickey,1918,\N,93,1119.0,False,"nm0215874, nm0370271","nm0428059, nm0949648"
1,tt0010600,The Doll,Die Puppe,1919,\N,66,1898.0,True,"nm0006782, nm0473134, nm0523932, nm0932559",nm0523932
2,tt0011439,The Mark of Zorro,The Mark of Zorro,1920,\N,79,2439.0,True,"nm0191547, nm0001196, nm1491939",nm0629243
3,tt0011607,The Parson's Widow,Prästänkan,1920,\N,94,1264.0,True,"nm0003433, nm0418114",nm0003433
4,tt0011841,Way Down East,Way Down East,1920,\N,145,5376.0,True,"nm0662461, nm0103755, nm0342604, nm0446189, nm0000428",nm0000428
5,tt0012494,Déstiny,Der müde Tod,1921,\N,97,5842.0,True,"nm0000485, nm0902376",nm0000485
6,tt0013257,Häxan,Häxan,1922,\N,91,13679.0,True,nm0159725,nm0159725
7,tt0013933,The Faithful Heart,Coeur fidèle,1923,\N,87,1252.0,True,"nm0258477, nm0258506",nm0258477
8,tt0014341,Our Hospitality,Our Hospitality,1923,\N,65,10911.0,True,"nm0369841, nm0115669, nm0593477","nm0090007, nm0000036"
9,tt0014945,Girl Shy,Girl Shy,1924,\N,87,3327.0,True,"nm0853130, nm0928514, nm0924065, nm0336984, nm0516001","nm0853130, nm0628345"
10,tt0015163,The Navigator,The Navigator,1924,\N,59,9652.0,True,"nm0115669, nm0593477, nm0369841","nm0187981, nm0000036"
11,tt0015841,The Freshman,The Freshman,1925,\N,77,5374.0,True,"nm0853130, nm0928514, nm0340599, nm0924065, nm0336984, nm0516001","nm0628345, nm0853130"
12,tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925,\N,93,17887.0,True,"nm0503693, nm0031033, nm0165470, nm0566338, nm0566439, nm0715723, nm0775419, nm0908831, nm1541473","nm0432216, nm0151606, nm0480677, nm0781292"
13,tt0016630,Báttling Bútlér,Battling Butler,1926,\N,77,3285.0,True,"nm0809548, nm0090213, nm0807667, nm0623640, nm0109209, nm0577650",nm0000036
14,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,"nm0908753, nm0558923, nm0933133, nm0385012, nm0129721","nm0629243, nm0102643, nm0127511, nm0169905, nm0002271"
15,tt0017463,3 Bad Men,3 Bad Men,1926,\N,92,1165.0,True,"nm0924268, nm0831958, nm0817809, nm0102167",nm0000406
