,tconst,writer
0,tt0003740,nm0515385
1,tt0003740,nm0665163
2,tt0003740,nm0758215
3,tt0008663,nm0406585
4,tt0008663,nm0596410
5,tt0008663,nm0803705
6,tt0009369,nm0215874
7,tt0009369,nm0370271
8,tt0010307,nm0304098
9,tt0010600,nm0006782
10,tt0010600,nm0473134
11,tt0010600,nm0523932
12,tt0010600,nm0932559
13,tt0011439,nm0191547
14,tt0011439,nm0001196
15,tt0011439,nm1491939
16,tt0011607,nm0003433
17,tt0011607,nm0418114
18,tt0011841,nm0662461
19,tt0011841,nm0103755
20,tt0011841,nm0342604
21,tt0011841,nm0446189
22,tt0011841,nm0000428
23,tt0012349,nm0000122
24,tt0012494,nm0000485
25,tt0012494,nm0902376
26,tt0012532,nm0257866
27,tt0012532,nm0180077
28,tt0012532,nm0000428
29,tt0013257,nm0159725
30,tt0013556,nm0001196
31,tt0013556,nm0202617
32,tt0013556,nm0245385
33,tt0013556,nm0461241
34,tt0013556,nm0940689
35,tt0013933,nm0258477
36,tt0013933,nm0258506
37,tt0014109,nm0405147
38,tt0014109,nm0481248
39,tt0014109,nm0830249
40,tt0014142,nm0401076
41,tt0014142,nm0790622
42,tt0014142,nm0522871
43,tt0014142,nm0730929
44,tt0014341,nm0369841
45,tt0014341,nm0115669
46,tt0014341,nm0593477
47,tt0014358,nm0000122
48,tt0014429,nm0730018
49,tt0014429,nm0853130
50,tt0014429,nm0924065
51,tt0014429,nm0907778
52,tt0014429,nm0369841
53,tt0014429,nm0516001
54,tt0014538,nm0115669
55,tt0014538,nm0593477
56,tt0014538,nm0369841
57,tt0014538,nm0000036
58,tt0014611,nm0853130
59,tt0014611,nm0928514
60,tt0014611,nm0924065
61,tt0014611,nm0907778
62,tt0014945,nm0853130
63,tt0014945,nm0928514
64,tt0014945,nm0924065
65,tt0014945,nm0336984
66,tt0014945,nm0516001
67,tt0014972,nm0028916
68,tt0014972,nm0933133
69,tt0014972,nm0803705
70,tt0014972,nm0014703
71,tt0015016,nm0448981
72,tt0015016,nm0751246
73,tt0015016,nm0201544
74,tt0015064,nm0562346
75,tt0015163,nm0115669
76,tt0015163,nm0593477
77,tt0015163,nm0369841
78,tt0015174,nm0902376
79,tt0015175,nm0000485
80,tt0015175,nm0902376
81,tt0015214,nm0163229
82,tt0015224,nm0057381
83,tt0015224,nm0325135
84,tt0015361,nm0017893
85,tt0015361,nm0001178
86,tt0015361,nm0470402
87,tt0015361,nm0687244
88,tt0015400,nm0940689
89,tt0015400,nm0001196
90,tt0015400,nm0008280
91,tt0015400,nm0640884
92,tt0015841,nm0853130
